MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,UDATE,UTIME,TCODE
010,EINKBELEG,0071156969,0054785915,2018-08-22T00:00:00,1970-01-01T11:15:10,ME22N
010,EINKBELEG,0071156969,0054814484,2018-08-24T00:00:00,1970-01-01T13:03:22,ME23N
010,EINKBELEG,0071156969,0054814729,2018-08-24T00:00:00,1970-01-01T13:23:29,ME23N
010,EINKBELEG,0071154509,0052713494,2018-03-28T00:00:00,1970-01-01T13:09:02,ME29N
010,EINKBELEG,0071154509,0052713550,2018-03-28T00:00:00,1970-01-01T13:15:20,ME29N
010,EINKBELEG,0071154509,0052713831,2018-03-28T00:00:00,1970-01-01T13:27:21,ME29N
010,EINKBELEG,0071154509,0052725935,2018-03-29T00:00:00,1970-01-01T09:43:07,ME23N
010,EINKBELEG,0071154509,0052728017,2018-03-29T00:00:00,1970-01-01T11:56:44,ME23N
010,EINKBELEG,0071154509,0066110059,2020-07-28T00:00:00,1970-01-01T14:52:36,ME22N
010,EINKBELEG,0071156626,0056232145,2018-12-11T00:00:00,1970-01-01T16:55:44,ME22N
010,EINKBELEG,0071156626,0056261271,2018-12-13T00:00:00,1970-01-01T14:08:25,ME23N
010,EINKBELEG,0071156626,0056409717,2019-01-03T00:00:00,1970-01-01T13:19:23,ME23N
010,EINKBELEG,0071156626,0056411020,2019-01-03T00:00:00,1970-01-01T14:20:03,ME23N
010,EINKBELEG,0071156626,0066426375,2020-08-19T00:00:00,1970-01-01T10:19:14,SA38
010,EINKBELEG,0071157109,0056493509,2019-01-10T00:00:00,1970-01-01T08:40:51,ME21N
010,EINKBELEG,0071157109,0056493674,2019-01-10T00:00:00,1970-01-01T08:41:57,ME21N
010,EINKBELEG,0071157109,0056507908,2019-01-10T00:00:00,1970-01-01T15:21:10,ME23N
010,EINKBELEG,0071157109,0056516252,2019-01-11T00:00:00,1970-01-01T07:37:00,ME23N
010,EINKBELEG,0071157109,0056522165,2019-01-11T00:00:00,1970-01-01T11:12:33,ME23N
010,EINKBELEG,0071157217,0056615720,2019-01-18T00:00:00,1970-01-01T15:08:37,ME23N
010,EINKBELEG,0071157217,0056773051,2019-01-31T00:00:00,1970-01-01T14:45:50,ME23N
010,EINKBELEG,0071157217,0056773364,2019-01-31T00:00:00,1970-01-01T15:05:48,ME23N
