MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,4700001106,0051867463,EKPO,010470000110600030,NETPR,U,    25000.00,    15000.00
010,EINKBELEG,4700001106,0051867463,EKPO,010470000110600030,NETWR,U,      25000.00,      15000.00
010,EINKBELEG,4700001106,0051873447,EKPO,010470000110600030,NETPR,U,    50000.00,    25000.00
010,EINKBELEG,4700001106,0051873447,EKPO,010470000110600030,NETWR,U,      50000.00,      25000.00
010,EINKBELEG,4700001106,0051874715,EKPO,010470000110600030,NETPR,U,    25000.00,    50000.00
010,EINKBELEG,4700001106,0051874715,EKPO,010470000110600030,NETWR,U,      25000.00,      50000.00
010,EINKBELEG,0072097579,0051978456,EKPO,010007209757900010,NETPR,U,   360625.00,   385975.00
010,EINKBELEG,0072097579,0051978456,EKPO,010007209757900010,NETWR,U,     360625.00,     385975.00
010,EINKBELEG,0072097579,0051978465,EKPO,010007209757900010,NETPR,U,   374050.00,   360625.00
010,EINKBELEG,0072097579,0051978465,EKPO,010007209757900010,NETWR,U,     374050.00,     360625.00
010,EINKBELEG,0072097579,0051978629,EKPO,010007209757900010,NETPR,U,   437500.00,   374050.00
010,EINKBELEG,0072097579,0051978629,EKPO,010007209757900010,NETWR,U,     437500.00,     374050.00
010,EINKBELEG,0072097579,0051978607,EKPO,010007209757900010,NETPR,U,   520765.00,   437500.00
010,EINKBELEG,0072097579,0051978607,EKPO,010007209757900010,NETWR,U,     520765.00,     437500.00
010,EINKBELEG,0072097579,0051978607,EKPO,010007209757900010,TWRKZ,U,2,
010,EINKBELEG,0072097579,0051978607,EKPO,010007209757900010,VRTKZ,U,2,
010,EINKBELEG,0072097579,0051978684,EKPO,010007209757900010,NETPR,U,   858818.00,   520765.00
010,EINKBELEG,0072097579,0051978684,EKPO,010007209757900010,NETWR,U,     858818.00,     520765.00
010,EINKBELEG,0072097616,0051998659,EKPO,010007209761600020,KEY,I,,
010,EINKBELEG,4700001106,0052019070,EKPO,010470000110600010,NETPR,U,     2500.00,     1332.49
010,EINKBELEG,4700001106,0052019070,EKPO,010470000110600010,NETWR,U,       2500.00,       1332.49
010,EINKBELEG,0072097579,0052035481,EKPO,010007209757900010,NETPR,U,   945301.25,   858818.00
010,EINKBELEG,0072097579,0052035481,EKPO,010007209757900010,NETWR,U,     945301.25,     858818.00
010,EINKBELEG,0072097579,0052035525,EKPO,010007209757900010,NETPR,U,  1001440.55,   945301.25
010,EINKBELEG,0072097579,0052035525,EKPO,010007209757900010,NETWR,U,    1001440.55,     945301.25
010,EINKBELEG,0072097579,0052035560,EKPO,010007209757900010,NETPR,U,   822172.25,  1001440.55
010,EINKBELEG,0072097579,0052035560,EKPO,010007209757900010,NETWR,U,     822172.25,    1001440.55
010,EINKBELEG,0072097579,0052035553,EKPO,010007209757900010,NETPR,U,   671529.80,   822172.25
010,EINKBELEG,0072097579,0052035553,EKPO,010007209757900010,NETWR,U,     671529.80,     822172.25
010,EINKBELEG,0072097579,0052035599,EKPO,010007209757900010,NETPR,U,   557167.55,   671529.80
010,EINKBELEG,0072097579,0052035599,EKPO,010007209757900010,NETWR,U,     557167.55,     671529.80
010,EINKBELEG,0072097579,0052035618,EKPO,010007209757900010,NETPR,U,   541567.55,   557167.55
010,EINKBELEG,0072097579,0052035618,EKPO,010007209757900010,NETWR,U,     541567.55,     557167.55
010,EINKBELEG,0072097579,0052035675,EKPO,010007209757900010,NETPR,U,   508023.75,   541567.55
010,EINKBELEG,0072097579,0052035675,EKPO,010007209757900010,NETWR,U,     508023.75,     541567.55
010,EINKBELEG,0072097579,0052035665,EKPO,010007209757900010,NETPR,U,   399723.75,   508023.75
010,EINKBELEG,0072097579,0052035665,EKPO,010007209757900010,NETWR,U,     399723.75,     508023.75
010,EINKBELEG,0072097579,0052035663,EKPO,010007209757900010,NETPR,U,   398358.75,   399723.75
010,EINKBELEG,0072097579,0052035663,EKPO,010007209757900010,NETWR,U,     398358.75,     399723.75
010,EINKBELEG,0076052494,0052035881,EKPO,010007605249400010,MENGE,U,       350.000,       400.000
010,EINKBELEG,0076052494,0052035881,EKPO,010007605249400010,NETWR,U,       1190.00,       1360.00
010,EINKBELEG,0076052494,0052035783,EKPO,010007605249400010,MENGE,U,       300.000,       350.000
