MANDT,EBELN,LIFNR,BUKRS,BSTYP,BSART,LOEKZ,STATU,AEDAT
010,0071160672,0000065661,0015,F,NB,,9,2020-01-29T00:00:00
010,0071161696,0000066597,0010,F,NB,,9,2020-05-11T00:00:00
010,0071160694,0000005122,0010,F,NB,,9,2020-01-31T00:00:00
010,0071160997,0000062299,0015,F,NB,,9,2020-03-16T00:00:00
010,0071161765,0000056690,0010,F,NB,,9,2020-07-13T00:00:00
010,0072095046,0000049644,0015,F,OBF,,9,2017-07-20T00:00:00
010,0072097564,0000049644,0015,F,OBF,,9,2018-01-12T00:00:00
010,0072097616,0000049644,0015,F,OBF,,9,2018-01-18T00:00:00
010,0072097715,0000064904,0015,F,OBF,,9,2018-01-25T00:00:00
010,0072097579,0000064904,0015,F,OBF,,9,2018-01-17T00:00:00
010,0072097714,0000064904,0015,F,OBF,,9,2018-01-25T00:00:00
010,0072099199,0000046157,0015,F,OBF,,9,2018-03-02T00:00:00
010,0072094941,0000046157,0015,F,OBF,,9,2019-05-16T00:00:00
010,0072095255,0000049766,0010,F,OBF,,9,2019-06-06T00:00:00
010,0072094299,0000066999,0015,F,OBF,,9,2019-04-08T00:00:00
010,0072095124,0000001956,0015,F,OBF,,9,2019-05-29T00:00:00
010,0072095445,0000049644,0015,F,OBF,,9,2019-06-18T00:00:00
010,0072095926,0000046799,0015,F,OBF,,9,2019-07-09T00:00:00
010,0072094496,0000049644,0015,F,OBF,,9,2019-04-17T00:00:00
010,0072095499,0000000704,0015,F,OBF,,9,2019-06-24T00:00:00
010,0072102549,0000046157,0015,F,OBF,,9,2020-08-21T00:00:00
010,0072102902,0000000704,0015,F,OBF,,9,2020-09-07T00:00:00
010,0072106647,0000046157,0015,F,OBF,,9,2020-10-07T00:00:00
010,0072106155,0000049644,0015,F,OBF,,9,2020-09-28T00:00:00
010,0072102940,0000006492,0015,F,OBF,,9,2020-09-14T00:00:00
010,0072110591,0000049644,0015,F,OBF,,9,2021-11-15T00:00:00
010,0072110966,0000056750,0015,F,OBF,,9,2021-12-03T00:00:00
010,0072111566,0000000924,0010,F,OBF,,9,2022-01-11T00:00:00
010,0072111906,0000006412,0015,F,OBF,,9,2022-01-26T00:00:00
010,0072111922,0000049644,0015,F,OBF,,9,2022-01-27T00:00:00
010,0072111961,0000000704,0015,F,OBF,,9,2022-02-03T00:00:00
010,0072110742,0000006492,0015,F,OBF,,9,2021-11-25T00:00:00
010,0072111061,0000046157,0015,F,OBF,,9,2021-12-08T00:00:00
010,0072119260,0000001561,0010,F,OBF,,9,2023-01-19T00:00:00
010,0076056219,0000061697,0015,F,KB,,9,2018-04-05T00:00:00
010,0076054101,0000052956,0010,F,KB,,9,2018-07-06T00:00:00
010,0076052494,0000061697,0015,F,KB,,9,2018-01-23T00:00:00
010,0076059957,0000067961,0015,F,KB,,9,2020-02-18T00:00:00
010,0071159099,0000001960,0015,F,NB,,9,2019-04-02T00:00:00
010,0071159240,0000065064,0010,F,NB,,9,2019-04-12T00:00:00
010,0071159957,0000067999,0015,F,NB,,9,2019-09-23T00:00:00
010,0071167099,0000055109,0020,F,NB,,9,2022-11-03T00:00:00
010,0071167269,0000001266,0010,F,NB,,9,2022-11-25T00:00:00
010,0072092746,0000049644,0015,F,OBF,,9,2019-01-04T00:00:00
010,0072096110,0000001077,0010,F,OBF,,9,2019-01-25T00:00:00
010,0072096269,0000049644,0015,F,OBF,,9,2019-02-05T00:00:00
010,0072096066,0000046157,0015,F,OBF,,9,2019-01-21T00:00:00
010,0072096099,0000049644,0015,F,OBF,,9,2019-01-24T00:00:00
010,0072092029,0000049719,0010,F,OBF,,9,2018-11-14T00:00:00
010,0072096566,0000049644,0015,F,OBF,,9,2019-02-20T00:00:00
010,0072096577,0000061990,0015,F,OBF,,,2019-02-22T00:00:00
010,0072096165,0000046157,0015,F,OBF,,9,2019-01-28T00:00:00
010,0072096625,0000049644,0015,F,OBF,,9,2019-02-26T00:00:00
010,0072096959,0000049644,0015,F,OBF,,9,2019-03-19T00:00:00
010,0072100714,0000046157,0015,F,OBF,,9,2020-04-29T00:00:00
010,0072100909,0000046157,0015,F,OBF,,9,2020-05-05T00:00:00
010,0072100655,0000046157,0015,F,OBF,,9,2020-04-27T00:00:00
010,0072100902,0000046157,0015,F,OBF,,9,2020-05-05T00:00:00
010,0072101079,0000056750,0015,F,OBF,,9,2020-05-20T00:00:00
010,0072100779,0000049644,0015,F,OBF,,9,2020-04-30T00:00:00
010,0072109699,0000049644,0015,F,OBF,,9,2021-07-22T00:00:00
010,0072109402,0000046157,0015,F,OBF,,9,2021-07-22T00:00:00
010,0072109794,0000046157,0015,F,OBF,,9,2021-08-16T00:00:00
010,0072109055,0000046157,0015,F,OBF,,9,2021-08-30T00:00:00
010,0072109977,0000046157,0015,F,OBF,,9,2021-08-25T00:00:00
010,0072109202,0000006492,0015,F,OBF,,9,2021-09-03T00:00:00
010,0072109165,0000056966,0015,F,OBF,,9,2021-09-02T00:00:00
010,0072109676,0000000704,0015,F,OBF,,9,2021-09-30T00:00:00
010,0072117195,0000062224,0015,F,OBF,,9,2022-11-23T00:00:00
010,0076065690,0000040162,0015,F,KB,,9,2022-01-06T00:00:00
010,0076066970,0000002155,0015,F,KB,,9,2022-05-30T00:00:00
010,0076067972,0000006205,0015,F,KB,,9,2022-10-24T00:00:00
010,0071156969,0000000922,0180,F,NB,,9,2018-01-15T00:00:00
010,0071154204,0000045707,0010,F,NB,,9,2018-02-23T00:00:00
010,0071155657,0000065665,0015,F,NB,,9,2018-07-06T00:00:00
010,0071154665,0000001009,0010,F,NB,,9,2018-03-12T00:00:00
010,0071155226,0000067740,0015,F,NB,,9,2018-06-21T00:00:00
010,0071154509,0000045056,0020,F,NB,,9,2018-03-26T00:00:00
010,0071155605,0000066406,0010,F,NB,,9,2018-08-10T00:00:00
010,0071162690,0000056965,0010,F,NB,,9,2020-10-29T00:00:00
010,0071162476,0000000922,0180,F,NB,,9,2020-11-11T00:00:00
010,0071166619,0000061990,0010,F,NB,,9,2021-03-11T00:00:00
010,0071166961,0000064991,0015,F,NB,,9,2021-06-02T00:00:00
010,0071162419,0000062999,0020,F,NB,,9,2020-11-02T00:00:00
010,0071162990,0000060951,0010,F,NB,,9,2021-01-25T00:00:00
010,0071166059,0000052924,0010,F,NB,,9,2021-02-01T00:00:00
010,0071166266,0000049166,0010,F,NB,,9,2021-02-25T00:00:00
010,0071162667,0000049276,0015,F,NB,,9,2020-11-30T00:00:00
010,0071162710,0000006061,0010,F,NB,,9,2020-12-09T00:00:00
010,0071166610,0000064576,0015,F,NB,,9,2021-03-09T00:00:00
010,0072097969,0000049644,0015,F,OBF,,9,2018-02-08T00:00:00
010,0072097940,0000049644,0015,F,OBF,,9,2018-02-08T00:00:00
010,0072099909,0000049644,0015,F,OBF,,9,2018-04-11T00:00:00
010,0072099461,0000000704,0015,F,OBF,,9,2018-05-28T00:00:00
010,0072099492,0000049461,0015,F,OBF,,9,2018-05-29T00:00:00
010,0072097941,0000049644,0015,F,OBF,,9,2018-02-08T00:00:00
010,0072099665,0000000704,0015,F,OBF,,9,2018-04-03T00:00:00
010,0072099504,0000006412,0015,F,OBF,,9,2018-05-30T00:00:00
010,0072097942,0000049644,0015,F,OBF,,9,2018-02-08T00:00:00
010,0072099719,0000049644,0015,F,OBF,,9,2018-04-05T00:00:00
010,0072099694,0000000704,0015,F,OBF,,9,2018-06-11T00:00:00
