MANDT,EBELN,EBELP,MATNR,BUKRS,WERKS,MENGE,NETPR,NETWR
010,0071154204,00010,,0010,0030,1,27746.58,27746.58
010,0071154665,00010,,0010,0030,1,6792.91,6792.91
010,0071154509,00010,,0020,0100,1,34000,34000
010,0071155226,00010,,0015,1540,1,2586.4,2586.4
010,0071155657,00010,000000000006024050,0015,1540,540,3361.78,1815.36
010,0071155605,00010,,0010,0030,1,2518.01,2518.01
010,0071156626,00010,000000000006662200,0015,1540,5,337.91,1689.56
010,0071157024,00010,,0015,1540,1,432000,432000
010,0071157217,00060,,0015,1540,1,48677.78,48677.78
010,0071157250,00010,000000000004610690,0010,0010,28,6.12,171.36
010,0071157250,00020,000000000004610420,0010,0010,28,6.12,171.36
010,0071157250,00040,000000000004610900,0010,0010,28,6.12,171.36
010,0071157092,00010,000000000000000421,0015,1540,60,2.77,166.29
010,0071157109,00060,000000000000006594,0015,1540,6,9.289999999999999,55.75
010,0071157217,00020,,0015,1540,1,144116.2,144116.2
010,0071157217,00040,,0015,1540,1,57539.39,57539.39
010,0071157250,00060,000000000004610990,0010,0010,28,6.12,171.36
010,0071159099,00100,,0015,1540,1,4243.5,4243.5
010,0071159099,00110,,0015,1540,1,8219.610000000001,8219.610000000001
010,0071159240,00010,,0010,0090,1,8300.219999999999,8300.219999999999
010,0071161696,00010,000000000009000607,0010,0090,3,165.6,496.8
010,0071161765,00010,000000000070006047,0010,0070,1,118.75,118.75
010,0071162419,00010,,0020,0100,1,5703.6,5703.6
010,0071162476,00040,000000000009651712,0180,0180,7,1295.56,9068.92
010,0071162667,00010,,0015,1540,1,9279.959999999999,9279.959999999999
010,0071162690,00050,000000000006706170,0010,0030,5,209.15,209.15
010,0071162667,00020,,0015,1540,1,6620.1,6620.1
010,0071162710,00010,,0010,0030,1,6820,6820
010,0071166961,00010,,0015,1540,1,37968.18,37968.18
010,0071166969,00010,000000000009100010,0180,0180,3,1845.85,5537.55
010,0071164527,00010,,0015,1540,1,12099.2,12099.2
010,0071167099,00010,,0020,0100,1,86703,86703
010,0071167269,00040,000000000002912910,0010,0030,2,85.88,171.76
010,0072095046,00010,,0015,1540,1,500,500
010,0072097579,00010,,0015,1540,1,703096.8,703096.8
010,0072097616,00010,,0015,1540,1,14854.2,14854.2
010,0072097616,00020,,0015,1540,1,14854.2,14854.2
010,0072099719,00010,,0015,1540,1,3250,3250
010,0072099665,00010,,0015,1540,1,9123.9,9123.9
010,0072099909,00060,,0015,1540,1,7222.91,7222.91
010,0072099694,00010,,0015,1540,1,459.36,459.36
010,0072099999,00010,,0015,1540,1,37582,37582
010,0072090090,00010,,0015,1540,1,15232.23,15232.23
010,0072090942,00060,,0015,1540,1,2065.82,2065.82
010,0072091161,00010,,0015,1540,1,15677,15677
010,0072091225,00010,,0015,1540,1,1605.81,1605.81
010,0072091609,00010,,0015,1540,1,977302.65,977302.65
010,0072091166,00010,,0015,1540,1,15677,15677
010,0072091625,00010,,0015,1540,1,2674.73,2674.73
010,0072092746,00010,,0015,1540,1,1998.89,1998.89
010,0072096066,00010,,0015,1540,1,2920.72,2920.72
010,0072096099,00010,,0015,1540,1,28456.68,28456.68
010,0072096110,00020,,0010,0070,1,44000,44000
010,0072096165,00010,,0015,1540,1,5447.87,5447.87
010,0072096269,00010,,0015,1540,1,8490,8490
010,0072094496,00010,,0015,1540,1,4141.86,4141.86
010,0072094496,00020,,0015,1540,1,943.09,943.09
010,0072094299,00010,,0015,1540,1,40125,40125
010,0072095445,00060,,0015,1540,1,1,1
010,0072095499,00010,,0015,1540,1,24621,24621
010,0072095926,00010,,0015,1540,1,22273.87,22273.87
010,0072095959,00010,,0015,1540,1,5199.05,5199.05
010,0072096919,00060,000000000100000969,0015,1540,2,706,1412
010,0072097266,00010,,0015,1540,1,1347.75,1347.75
010,0072097441,00020,,0015,1540,1,8188.15,8188.15
010,0072097762,00010,,0015,1540,1,14669.23,14669.23
010,0072097762,00020,,0015,1540,1,850,850
010,0072099649,00010,,0015,1540,1,183,183
010,0072099924,00010,,0015,1540,1,1090.98,1090.98
010,0072099029,00010,,0015,1540,1,639103.25,639103.25
010,0072099165,00010,,0015,1540,1,970,970
010,0072099990,00010,,0015,1540,1,1268.5,1268.5
010,0072099059,00010,,0015,1540,1,3079.79,3079.79
010,0072099126,00010,,0015,1540,1,7840.14,7840.14
010,0072099214,00010,,0010,0030,1,3495.8,3495.8
010,0072099424,00010,,0015,1540,1,2478.36,2478.36
010,0072099424,00040,,0015,1540,1,309.8,309.8
010,0072100299,00020,,0015,1540,1,10700,10700
010,0072100779,00010,,0015,1540,1,2579.22,2579.22
010,0072100779,00020,,0015,1540,1,5158.43,5158.43
010,0072100909,00010,,0015,1540,1,5796.27,5796.27
010,0072100655,00010,,0015,1540,1,9611,9611
010,0072100714,00010,,0015,1540,1,8319.459999999999,8319.459999999999
010,0072100902,00010,,0015,1540,1,91429.28999999999,91429.28999999999
010,0072102549,00010,,0015,1540,1,40447.74,40447.74
010,0072102902,00010,,0015,1540,1,3841.5,3841.5
010,0072106969,00010,,0015,1540,1,1,1
010,0072106956,00010,,0015,1540,1,14875.16,14875.16
010,0072105516,00010,,0015,1540,1,3061.2,3061.2
010,0072105729,00020,,0015,1540,1,5270.6,5270.6
010,0072105767,00010,,0015,1540,1,2981.6,2981.6
010,0072106606,00010,,0015,1540,1,11938.73,11938.73
010,0072105729,00040,,0015,1540,1,6591.57,6591.57
010,0072105744,00010,,0010,0070,1,601.5,601.5
010,0072105906,00010,,0015,1540,1,191400,191400
010,0072105911,00010,,0015,1540,1,4237.95,4237.95
010,0072106076,00010,,0015,1540,1,3372.88,3372.88
010,0072106074,00010,,0015,1540,1,3129.34,3129.34
010,0072106095,00010,,0015,1540,1,5427.64,5427.64
010,0072107406,00010,,0015,1540,1,10500,10500
010,0072107615,00010,,0015,1540,1,13579,13579
010,0072107725,00010,,0015,1540,1,25678.01,25678.01
010,0072107914,00010,,0015,1540,1,68610.28,68610.28
010,0072107604,00010,,0015,1540,1,6624.15,6624.15
010,0072107625,00010,,0010,0090,1,5538.5,5538.5
010,0072107921,00010,,0015,1540,1,4495.64,4495.64
010,0072109977,00010,,0015,1540,1,15803.96,15803.96
010,0072109055,00010,,0015,1540,1,49102.9,49102.9
010,0072109165,00010,,0015,1540,1,285790,285790
010,0072109202,00010,,0015,1540,1,9000,9000
010,0072109676,00010,,0015,1540,1,2185.97,2185.97
010,0072110591,00010,,0015,1540,1,50000,50000
010,0072110742,00010,,0015,1540,1,2213.5,2213.5
010,0072110966,00140,,0015,1540,1,50826.75,50826.75
010,0072111061,00010,,0015,1540,1,37472.7,37472.7
010,0072112999,00010,,0015,1540,1,7338.13,7338.13
010,0072112699,00010,,0015,1540,1,360,360
010,0072112746,00010,,0015,1540,1,1591.6,1591.6
010,0072112746,00020,,0015,1540,1,1649.26,1649.26
010,0072112916,00010,,0015,1540,1,7587.99,7587.99
010,0072114966,00010,,0015,1540,1,1686,1686
010,0072114919,00010,,0015,1540,1,8875,8875
010,0072115994,00010,,0015,1540,1,10850.71,10850.71
010,0072119260,00010,,0010,0090,1,5000,5000
010,0076052494,00010,,0015,1540,250,3.8,950
010,0076054101,00010,,0010,0030,1,1330,1330
010,0076061977,00010,,0015,1540,1,231.57,231.57
010,0076066096,00010,000000000100000705,0015,1540,4,45.67,182.68
010,0076066421,00010,,0010,0010,1,705.4,705.4
010,0076065960,00010,,0010,0070,1,1499,1499
010,0076066970,00010,,0015,1540,3,36.24,36.24
010,4700001106,00010,,0015,1500,1,12000,12000
010,4700001106,00030,,0015,1540,1,25000,25000
010,4700001140,00010,,0015,1500,1,40000,40000
010,4700001196,00010,,0015,1540,1,20000,20000
010,4700001417,00010,,0010,0001,1,4000,4000
010,4700001456,00010,,0015,1540,1,22500,22500
010,4700001499,00010,,0015,1540,1,348000,348000
010,4700001512,00020,,0010,0001,1,90000,90000
010,4700001545,00010,,0021,0021,1,89000,89000
010,4700001551,00010,,0021,0021,1,16000,16000
010,4700001140,00020,,0015,1500,1,5000,5000
010,4700001219,00010,,0010,0001,1,80000,80000
010,4700001641,00010,,0010,0001,1,235000,235000
010,4700001659,00010,,0010,0001,1,45000,45000
010,4700001402,00010,,0015,1540,1,30000,30000
010,0071156969,00010,000000000009654449,0180,0180,1,2226.15,2226.15
010,0071154204,00020,,0010,0030,1,19903.54,19903.54
010,0071154204,00060,,0010,0030,1,15961.7,15961.7
010,0071154204,00040,,0010,0030,1,2227.7,2227.7
010,0071155226,00020,,0015,1540,1,22994.56,22994.56
010,0071155226,00060,,0015,1540,1,2820.64,2820.64
